mal_id,title,large_image_url,episodes,score,year,genre1,genre2,genre3
"1589","Bartender","https://cdn.myanimelist.net/images/anime/13/67397l.jpg","11","7.32","","Drama","Gourmet",""
"1590","Legendz: Yomigaeru Ryuuou Densetsu","https://cdn.myanimelist.net/images/anime/1675/142110l.jpg","50","7.33","","Action","Adventure","Comedy"
"1591","Kujibiki♥Unbalance","https://cdn.myanimelist.net/images/anime/6/75281l.jpg","12","6.22","","Comedy","Romance",""
"1592","Hataraki Man","https://cdn.myanimelist.net/images/anime/2/73869l.jpg","11","6.98","","Comedy","Drama","Romance"
"1897","Zettai Muteki Raijin-Oh","https://cdn.myanimelist.net/images/anime/1152/91073l.jpg","51","6.88","","Adventure","Sci-Fi",""
"1899","Masou Kishin Cybuster","https://cdn.myanimelist.net/images/anime/11/57475l.jpg","26","6.07","","Action","Adventure","Sci-Fi"
"1912","Marginal Prince: Gekkeiju no Ouji-tachi","https://cdn.myanimelist.net/images/anime/6/27476l.jpg","13","5.8","","Boys Love","",""
"1914","Saiunkoku Monogatari 2nd Season","https://cdn.myanimelist.net/images/anime/1998/139962l.jpg","39","8","","Adventure","Fantasy","Romance"
"1915","Mahou Shoujo Lyrical Nanoha StrikerS","https://cdn.myanimelist.net/images/anime/3/14190l.jpg","26","7.61","","Action","Comedy","Drama"
"2200","Muteki Choujin Zanbot 3","https://cdn.myanimelist.net/images/anime/1946/131226l.jpg","23","7","","Action","Drama","Sci-Fi"
"2203","Waga Seishun no Arcadia: Mugen Kidou SSX","https://cdn.myanimelist.net/images/anime/1541/92869l.jpg","22","7.34","","Action","Adventure","Drama"
"2204","Karakuri Zoushi Ayatsuri Sakon","https://cdn.myanimelist.net/images/anime/10/16022l.jpg","26","7.34","","Mystery","Suspense",""
"2518","Masuda Kousuke Gekijou: Gag Manga Biyori 2","https://cdn.myanimelist.net/images/anime/4/3538l.jpg","12","7.11","","Comedy","",""
"2521","Haja Kyosei G Dangaiou","https://cdn.myanimelist.net/images/anime/1303/133414l.jpg","13","5.43","","Action","Sci-Fi",""
"2523","Izumo: Takeki Tsurugi no Senki","https://cdn.myanimelist.net/images/anime/1372/106200l.jpg","12","6.1","","Adventure","Drama","Fantasy"
"2834","Miracle☆Girls","https://cdn.myanimelist.net/images/anime/11/21213l.jpg","51","7.17","","Fantasy","Romance",""
"2835","Patalliro!","https://cdn.myanimelist.net/images/anime/2/56443l.jpg","49","7.33","","Adventure","Boys Love","Comedy"
"2836","Chiisana Viking Vickie","https://cdn.myanimelist.net/images/anime/11/3940l.jpg","78","6.7","","Adventure","Comedy",""
"3225","Minami-ke Okawari","https://cdn.myanimelist.net/images/anime/10/73556l.jpg","13","7.32","","Comedy","",""
"3226","Major S4","https://cdn.myanimelist.net/images/anime/9/75217l.jpg","26","8.18","","Sports","",""
"3228","Zoku Sayonara Zetsubou Sensei","https://cdn.myanimelist.net/images/anime/13/75517l.jpg","13","7.89","","Comedy","",""
"3229","Kimi ga Aruji de Shitsuji ga Ore de","https://cdn.myanimelist.net/images/anime/5/21532l.jpg","13","7.09","","Comedy","Romance","Ecchi"
"3230","Druaga no Tou: The Aegis of Uruk","https://cdn.myanimelist.net/images/anime/5/75646l.jpg","12","7.12","","Action","Adventure","Fantasy"
"3231","Gunslinger Girl: Il Teatrino","https://cdn.myanimelist.net/images/anime/5/16697l.jpg","13","7.11","","Action","Drama","Sci-Fi"
"3243","Elec-king The Animation","https://cdn.myanimelist.net/images/anime/4/50731l.jpg","13","","","Comedy","",""
"3251","Hatara Kids Mai Ham Gumi","https://cdn.myanimelist.net/images/anime/8/21232l.jpg","50","5.97","","Action","",""
"3637","Bouken Yuuki Pluster World","https://cdn.myanimelist.net/images/anime/1928/133508l.jpg","52","6.26","","Action","Adventure","Sci-Fi"
"3638","Kaiketsu Zorori","https://cdn.myanimelist.net/images/anime/1330/131495l.jpg","52","7.07","","Adventure","Comedy",""
"3642","Shina Dark: Kuroki Tsuki no Ou to Souheki no Tsuki no Himegimi","https://cdn.myanimelist.net/images/anime/11/6288l.jpg","4","5.96","","Fantasy","Ecchi",""
"3653","Kurogane no Linebarrels","https://cdn.myanimelist.net/images/anime/2/50375l.jpg","24","6.89","","Action","Sci-Fi",""
"3654","Macademi Wasshoi!","https://cdn.myanimelist.net/images/anime/10/74031l.jpg","12","6.9","","Comedy","Fantasy","Romance"
"3655","Nabari no Ou","https://cdn.myanimelist.net/images/anime/13/79037l.jpg","26","7.24","","Action","Drama","Supernatural"
"3656","Monochrome Factor","https://cdn.myanimelist.net/images/anime/3/22552l.jpg","24","6.93","","Action","Boys Love","Supernatural"
"3660","Mahou no Idol Pastel Yumi","https://cdn.myanimelist.net/images/anime/7/43623l.jpg","25","6.46","","Comedy","Fantasy",""
"3667","Strike Witches","https://cdn.myanimelist.net/images/anime/13/75524l.jpg","12","6.93","","Action","Sci-Fi","Ecchi"
"3668","Telepathy Shoujo Ran","https://cdn.myanimelist.net/images/anime/12/21526l.jpg","26","6.61","","Fantasy","",""
"4050","Kouchuu Ouja Mushiking: Mori no Tami no Densetsu","https://cdn.myanimelist.net/images/anime/1366/97806l.jpg","52","6.82","","Fantasy","",""
"4051","Net Ghost Pipopa","https://cdn.myanimelist.net/images/anime/1173/134907l.jpg","51","6.79","","Action","Adventure","Comedy"
"4052","Medarot Damashii","https://cdn.myanimelist.net/images/anime/2/19960l.jpg","39","6.67","","Action","Adventure","Sci-Fi"
"4054","Norimono Oukoku BuBu ChaCha","https://cdn.myanimelist.net/images/anime/6/63221l.jpg","26","6.63","","Comedy","Slice of Life",""
"4056","Masuda Kousuke Gekijou: Gag Manga Biyori 3","https://cdn.myanimelist.net/images/anime/2/74001l.jpg","12","7","","Comedy","",""
"4060","Grimm Meisaku Gekijou","https://cdn.myanimelist.net/images/anime/1562/96991l.jpg","24","7.41","","Adventure","Comedy","Fantasy"
"4061","Shin Grimm Meisaku Gekijou","https://cdn.myanimelist.net/images/anime/8/44608l.jpg","23","7.3","","Adventure","Comedy","Fantasy"
"4062","Musashi no Ken","https://cdn.myanimelist.net/images/anime/5/22398l.jpg","72","7.1","","Sports","",""
"4063","Sekirei","https://cdn.myanimelist.net/images/anime/10/15182l.jpg","12","7.02","","Action","Comedy","Romance"
"4066","Tytania","https://cdn.myanimelist.net/images/anime/7/21841l.jpg","26","6.79","","Adventure","Romance","Sci-Fi"
"4067","Shin Megami Tensei Devil Children","https://cdn.myanimelist.net/images/anime/1812/96501l.jpg","50","6.5","","Action","Adventure","Fantasy"
"4068","Shin Megami Tensei Devil Children: Light & Dark","https://cdn.myanimelist.net/images/anime/5/23110l.jpg","52","6.44","","Action","Adventure","Fantasy"
