mal_id,title,large_image_url,chapters,score,published_from,year,genre1,genre2,genre3
"377","Island","https://cdn.myanimelist.net/images/manga/3/270452l.jpg","46","7.05","1997-01-01","1997","Action","Horror","Supernatural"
"378","Les Bijoux","https://cdn.myanimelist.net/images/manga/1/191944l.jpg","32","6.7","1999-01-01","1999","Fantasy","Supernatural",""
"379","Jiraishin","https://cdn.myanimelist.net/images/manga/1/263862l.jpg","72","7.73","1992-09-25","1992","Action","Drama","Mystery"
"380","Judas","https://cdn.myanimelist.net/images/manga/2/178192l.jpg","20","6.86","2004-05-26","2004","Action","Comedy","Horror"
"381","Junai Tokkou Taichou!","https://cdn.myanimelist.net/images/manga/1/204996l.jpg","25","7.72","2004-09-13","2004","Comedy","Romance",""
"382","Juu Ou Sei","https://cdn.myanimelist.net/images/manga/5/72293l.jpg","16","7.37","1993-01-01","1993","Action","Drama","Sci-Fi"
"383","Kamen Tantei","https://cdn.myanimelist.net/images/manga/1/180641l.jpg","19","6.85","1999-01-01","1999","Comedy","Horror","Mystery"
"384","Kami-Kaze","https://cdn.myanimelist.net/images/manga/3/180645l.jpg","59","6.81","1997-03-25","1997","Action","Supernatural",""
"385","Kamiyadori","https://cdn.myanimelist.net/images/manga/2/56049l.jpg","29","6.74","2003-07-26","2003","Action","Horror","Sci-Fi"
"386","Kimi no Unaji ni Kanpai!","https://cdn.myanimelist.net/images/manga/3/11216l.jpg","12","6.71","2000-01-01","2000","Comedy","Supernatural",""
"387","Karin","https://cdn.myanimelist.net/images/manga/2/181516l.jpg","63","7.72","2003-04-09","2003","Comedy","Drama","Romance"
"388","Karin Zouketsuki","https://cdn.myanimelist.net/images/manga/1/86977l.jpg","60","7.42","2003-12-10","2003","Comedy","Mystery","Romance"
"389","Kedamono Damono","https://cdn.myanimelist.net/images/manga/2/202951l.jpg","","6.8","2003-08-07","2003","Comedy","Romance","Supernatural"
"390","Keroro Gunsou","https://cdn.myanimelist.net/images/manga/4/152242l.jpg","","7.66","1999-11-29","1999","Award Winning","Comedy","Drama"
"391","K2♥: Kill Me Kiss Me","https://cdn.myanimelist.net/images/manga/2/152554l.jpg","34","6.85","2000-01-01","2000","Comedy","Romance",""
"392","Kimi wa Pet","https://cdn.myanimelist.net/images/manga/3/165611l.jpg","82","7.94","2000-05-08","2000","Award Winning","Comedy","Drama"
"393","Kindaichi Shounen no Jikenbo: File Series","https://cdn.myanimelist.net/images/manga/2/84823l.jpg","219","8.08","1992-10-14","1992","Award Winning","Drama","Mystery"
"394","King of Bandit Jing","https://cdn.myanimelist.net/images/manga/2/295652l.jpg","35","7.52","1999-01-01","1999","Action","Adventure","Fantasy"
"395","Ibara no Ou","https://cdn.myanimelist.net/images/manga/3/180829l.jpg","37","7.48","2002-09-12","2002","Action","Drama","Sci-Fi"
"396","Kingdom Hearts","https://cdn.myanimelist.net/images/manga/2/197189l.jpg","43","7.32","2003-10-01","2003","Adventure","Fantasy",""
"397","Kingdom Hearts: Chain of Memories","https://cdn.myanimelist.net/images/manga/1/112415l.jpg","13","7.43","2005-03-12","2005","Adventure","Fantasy",""
"398","Kingdom Hearts II","https://cdn.myanimelist.net/images/manga/3/153894l.jpg","69","7.78","2006-05-12","2006","Adventure","Fantasy",""
"399","Kino no Tabi: The Beautiful World","https://cdn.myanimelist.net/images/manga/4/1146l.jpg","","8.57","2000-03-10","2000","Adventure","Drama","Fantasy"
"400","Kilala☆Princess","https://cdn.myanimelist.net/images/manga/3/190870l.jpg","23","7.22","2005-01-01","2005","Fantasy","",""
"401","Kiseijuu","https://cdn.myanimelist.net/images/manga/2/188928l.jpg","64","8.37","1989-11-22","1989","Action","Award Winning","Horror"
"402","Kowarehajimeta Tenshi Tachi","https://cdn.myanimelist.net/images/manga/3/271317l.jpg","22","6.75","1999-01-01","1999","Fantasy","",""
"403","Kakutou Komusume Juline","https://cdn.myanimelist.net/images/manga/3/167712l.jpg","20","6.4","1997-01-01","1997","Action","",""
"405","Hitsuji no Uta","https://cdn.myanimelist.net/images/manga/2/173240l.jpg","47","7.12","1995-11-25","1995","Drama","Supernatural",""
"406","Cossette no Shouzou","https://cdn.myanimelist.net/images/manga/1/251870l.jpg","9","6.91","2004-01-01","2004","Horror","Mystery","Romance"
"407","Life","https://cdn.myanimelist.net/images/manga/3/127497l.jpg","80","7.97","2002-04-13","2002","Award Winning","Drama","Slice of Life"
"408","Kidou Senshi Gundam SEED Destiny","https://cdn.myanimelist.net/images/manga/3/300562l.jpg","17","6.82","2004-11-26","2004","Action","Drama","Sci-Fi"
"409","Guruguru Pon-chan","https://cdn.myanimelist.net/images/manga/3/286565l.jpg","37","7.04","1997-01-01","1997","Award Winning","Comedy","Romance"
"410","Kagetora","https://cdn.myanimelist.net/images/manga/5/199436l.jpg","56","7.47","2001-11-20","2001","Action","Comedy","Romance"
"411","Kitchen no Ohimesama","https://cdn.myanimelist.net/images/manga/5/112513l.jpg","53","7.9","2004-08-03","2004","Award Winning","Drama","Gourmet"
"412","Koibumi Biyori","https://cdn.myanimelist.net/images/manga/1/187563l.jpg","12","7.11","2000-01-01","2000","Award Winning","Comedy","Romance"
"413","Love Roma","https://cdn.myanimelist.net/images/manga/2/138067l.jpg","32","7.51","2002-01-01","2002","Comedy","Romance","Slice of Life"
"414","Mamotte! Lollipop","https://cdn.myanimelist.net/images/manga/2/11448l.jpg","32","7.27","2002-11-01","2002","Comedy","",""
"416","Sidooh","https://cdn.myanimelist.net/images/manga/1/263863l.jpg","267","7.54","2005-01-06","2005","Action","",""
"417","Modotte! Mamotte! Lollipop","https://cdn.myanimelist.net/images/manga/3/1318l.jpg","22","7.44","2006-01-01","2006","Fantasy","",""
"418","Mushishi","https://cdn.myanimelist.net/images/manga/2/159514l.jpg","50","8.7","1999-10-08","1999","Award Winning","Fantasy","Mystery"
"419","Nodame Cantabile","https://cdn.myanimelist.net/images/manga/2/153962l.jpg","150","8.4","2001-07-10","2001","Award Winning","Comedy","Romance"
"420","Othello.","https://cdn.myanimelist.net/images/manga/3/250803l.jpg","28","7.56","2001-08-08","2001","Comedy","Romance",""
"421","Pastel","https://cdn.myanimelist.net/images/manga/1/188952l.jpg","219","7.47","2002-07-10","2002","Comedy","Romance","Slice of Life"
"422","Yamato Nadeshiko Shichihenge♥","https://cdn.myanimelist.net/images/manga/2/173084l.jpg","148","7.95","2000-03-13","2000","Drama","Romance",""
"423","Pichi Pichi Pitch: Mermaid Melody","https://cdn.myanimelist.net/images/manga/3/7128l.jpg","35","6.94","2002-09-01","2002","Comedy","Fantasy","Romance"
"424","Kaibutsu Oujo","https://cdn.myanimelist.net/images/manga/1/163097l.jpg","87","7.46","2005-06-25","2005","Action","Comedy","Fantasy"
"425","Psycho Busters","https://cdn.myanimelist.net/images/manga/3/3362l.jpg","32","7.36","2006-02-20","2006","Action","Romance","Supernatural"
"426","Pumpkin Scissors","https://cdn.myanimelist.net/images/manga/3/55387l.jpg","","7.66","2002-01-01","2002","Action","Drama",""
"427","Qko-chan","https://cdn.myanimelist.net/images/manga/2/723l.jpg","19","6.37","2003-01-01","2003","Action","Sci-Fi",""
"428","Shiki Tsukai","https://cdn.myanimelist.net/images/manga/3/53445l.jpg","","6.91","2005-07-26","2005","Romance","Supernatural",""
"429","Sugar Sugar Rune","https://cdn.myanimelist.net/images/manga/2/263709l.jpg","46","7.6","2003-08-02","2003","Award Winning","Comedy","Drama"
