mal_id,title,large_image_url,year,genre1,genre2,genre3
"60525","Nozomanu Fushi no Boukensha 2nd Season","https://cdn.myanimelist.net/images/anime/1569/146966l.jpg","","Action","Adventure","Fantasy"
"60046","Mahou Shoujo ni Akogarete 2nd Season","https://cdn.myanimelist.net/images/anime/1389/145933l.jpg","","Action","Comedy","Girls Love"
"60564","Ranma ½ (2024) 2nd Season","https://cdn.myanimelist.net/images/anime/1181/147042l.jpg","","Action","Comedy","Romance"
"56700","Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou 2nd Season","https://cdn.myanimelist.net/images/anime/1209/149408l.jpg","2025","Comedy","Fantasy",""
"59846","Saigo ni Hitotsu dake Onegai shitemo Yoroshii deshou ka","https://cdn.myanimelist.net/images/anime/1725/148741l.jpg","2025","Action","Comedy","Romance"
"54757","3-nen Z-gumi Ginpachi-sensei","https://cdn.myanimelist.net/images/anime/1367/146006l.jpg","2025","Comedy","",""
"60601","Tensei Kizoku, Kantei Skill de Nariagaru 3rd Season","https://cdn.myanimelist.net/images/anime/1754/147116l.jpg","","Adventure","Fantasy",""
"56836","Akira (Shin Anime)","https://cdn.myanimelist.net/images/anime/1361/138919l.jpg","","Action","Sci-Fi",""
"60059","Nige Jouzu no Wakagimi 2nd Season","https://cdn.myanimelist.net/images/anime/1437/145947l.jpg","","Adventure","Comedy",""
"58515","Kekkon Yubiwa Monogatari 2nd Season","https://cdn.myanimelist.net/images/anime/1017/142241l.jpg","","Action","Fantasy","Romance"
"59459","Silent Witch: Chinmoku no Majo no Kakushigoto","https://cdn.myanimelist.net/images/anime/1669/149732l.jpg","2025","Fantasy","",""
"60619","Nageki no Bourei wa Intai shitai Part 2","https://cdn.myanimelist.net/images/anime/1526/147157l.jpg","2025","Action","Adventure","Fantasy"
"61125","Haikyuu!! Bakemono-tachi no Iku Tokoro","https://cdn.myanimelist.net/images/anime/1540/148249l.jpg","","Sports","",""
"61126","Kimi ga Shinu made Koi wo Shitai","https://cdn.myanimelist.net/images/anime/1051/148250l.jpg","","Fantasy","Girls Love",""
"53397","Tsuyokute New Saga","https://cdn.myanimelist.net/images/anime/1170/147753l.jpg","2025","Adventure","Fantasy",""
"59898","City The Animation","https://cdn.myanimelist.net/images/anime/1981/149640l.jpg","2025","Comedy","",""
"60267","Yuru Camp△ Season 4","https://cdn.myanimelist.net/images/anime/1259/146435l.jpg","","Slice of Life","",""
"56009","Yuusha-kei ni Shosu: Choubatsu Yuusha 9004-tai Keimu Kiroku","https://cdn.myanimelist.net/images/anime/1249/148740l.jpg","2025","Action","Adventure","Fantasy"
"61012","Toaru Kagaku no Railgun 4th Season","https://cdn.myanimelist.net/images/anime/1261/148015l.jpg","","Action","Fantasy","Sci-Fi"
"60510","2.5-jigen no Ririsa 2nd Season","https://cdn.myanimelist.net/images/anime/1833/146951l.jpg","","Comedy","Ecchi",""
"58518","Sasaki to Pii-chan Season 2","https://cdn.myanimelist.net/images/anime/1055/145202l.jpg","","Adventure","Comedy","Fantasy"
"60326","Watashi ga Koibito ni Nareru Wake Nai jan, Muri Muri! (※Muri ja Nakatta!?)","https://cdn.myanimelist.net/images/anime/1152/146560l.jpg","2025","Comedy","Girls Love",""
"61339","Jibaku Shounen Hanako-kun 2 Part 2","https://cdn.myanimelist.net/images/anime/1896/148886l.jpg","2025","Supernatural","",""
"59130","Isekai Mokushiroku Mynoghra: Hametsu no Bunmei de Hajimeru Sekai Seifuku","https://cdn.myanimelist.net/images/anime/1013/148555l.jpg","2025","Adventure","Fantasy",""
"60055","Yozakura-san Chi no Daisakusen 2nd Season","https://cdn.myanimelist.net/images/anime/1040/147111l.jpg","","Action","Comedy",""
"49703","Fate/kaleid liner Prisma☆Illya (Zoku-hen)","https://cdn.myanimelist.net/images/anime/1747/137597l.jpg","","Action","",""
"58772","Kakuriyo no Yadomeshi 2nd Season","https://cdn.myanimelist.net/images/anime/1726/142804l.jpg","2025","Drama","Fantasy","Gourmet"
"58749","Arknights: Rise from Ember","https://cdn.myanimelist.net/images/anime/1790/149462l.jpg","2025","Action","Fantasy",""
"61440","Watashi no Shiawase na Kekkon (Shinsaku Anime)","https://cdn.myanimelist.net/images/anime/1511/149166l.jpg","","Drama","Fantasy","Romance"
