mal_id,title,large_image_url,episodes,score,year,genre1,genre2,genre3
"297","Grenadier: Hohoemi no Senshi","https://cdn.myanimelist.net/images/anime/1691/114822l.jpg","12","6.68","2004","Action","Adventure","Comedy"
"298",".hack//Tasogare no Udewa Densetsu","https://cdn.myanimelist.net/images/anime/4/78321l.jpg","12","6.55","2003","Adventure","Comedy","Fantasy"
"301","Cinderella Boy","https://cdn.myanimelist.net/images/anime/1029/147665l.jpg","13","6.32","2003","Action","Adventure","Comedy"
"302","Mirai Shounen Conan","https://cdn.myanimelist.net/images/anime/6/17529l.jpg","26","8.09","1978","Adventure","Drama","Sci-Fi"
"303","Aa! Megami-sama!: Chichaitte Koto wa Benri da ne","https://cdn.myanimelist.net/images/anime/1/303l.jpg","48","6.88","1998","Comedy","Supernatural",""
"306","Abenobashi Mahou☆Shoutengai","https://cdn.myanimelist.net/images/anime/1350/113655l.jpg","13","7.21","2002","Award Winning","Comedy","Fantasy"
"307","Kerokko Demetan","https://cdn.myanimelist.net/images/anime/1807/108565l.jpg","39","6.05","1973","Comedy","Fantasy",""
"308","Zettai Shounen","https://cdn.myanimelist.net/images/anime/12/4905l.jpg","26","6.85","2005","Drama","Fantasy","Mystery"
"309","Akahori Gedou Hour Rabuge","https://cdn.myanimelist.net/images/anime/4/75541l.jpg","13","6.1","2005","Comedy","",""
"310","Chiisana Obake: Acchi, Kocchi, Socchi","https://cdn.myanimelist.net/images/anime/1893/100728l.jpg","50","6.09","1991","Comedy","Supernatural",""
"311","Ace wo Nerae!","https://cdn.myanimelist.net/images/anime/1414/91264l.jpg","26","7.09","1973","Drama","Romance","Sports"
"318","Hand Maid May","https://cdn.myanimelist.net/images/anime/1497/140178l.jpg","10","6.68","2000","Comedy","Romance","Sci-Fi"
"321","Najica Dengeki Sakusen","https://cdn.myanimelist.net/images/anime/11/22210l.jpg","12","5.97","2001","Action","Comedy","Sci-Fi"
"322","Paradise Kiss","https://cdn.myanimelist.net/images/anime/7/80636l.jpg","12","7.87","2005","Drama","Romance",""
"323","Mousou Dairinin","https://cdn.myanimelist.net/images/anime/7/10240l.jpg","13","7.66","2004","Avant Garde","Award Winning","Drama"
"324","Kidou Keisatsu Patlabor: On Television","https://cdn.myanimelist.net/images/anime/1739/144310l.jpg","47","7.69","1989","Action","Comedy","Sci-Fi"
"325","Peach Girl","https://cdn.myanimelist.net/images/anime/13/75579l.jpg","25","6.92","2005","Drama","Romance",""
"326","Petshop of Horrors","https://cdn.myanimelist.net/images/anime/10/64543l.jpg","4","7.24","1999","Horror","Mystery","Supernatural"
"327","Puchi Pri*Yucie","https://cdn.myanimelist.net/images/anime/6/20142l.jpg","26","7.4","2002","Comedy","Fantasy",""
"328","Piano","https://cdn.myanimelist.net/images/anime/2/12834l.jpg","10","5.98","2002","Drama","Romance",""
"329","Planetes","https://cdn.myanimelist.net/images/anime/1209/142900l.jpg","26","8.25","2003","Award Winning","Drama","Romance"
"330","Midori no Hibi","https://cdn.myanimelist.net/images/anime/13/56961l.jpg","13","7.21","2004","Comedy","Drama","Romance"
"331","Mahoujin Guruguru","https://cdn.myanimelist.net/images/anime/2/75814l.jpg","45","7.59","1994","Adventure","Comedy","Fantasy"
"332","Dokidoki♡Densetsu: Mahoujin Guruguru","https://cdn.myanimelist.net/images/anime/1153/134019l.jpg","38","7.12","2000","Adventure","Comedy","Fantasy"
"333","Mama wa Shougaku 4-nensei","https://cdn.myanimelist.net/images/anime/12/87408l.jpg","51","7.32","1992","Award Winning","Comedy","Drama"
"334","Marmalade Boy","https://cdn.myanimelist.net/images/anime/8/6092l.jpg","76","7.41","1994","Comedy","Drama","Romance"
"335","Matantei Loki Ragnarok","https://cdn.myanimelist.net/images/anime/13/75300l.jpg","26","7.24","2003","Comedy","Mystery","Supernatural"
"336","Ginyuu Mokushiroku Meine Liebe","https://cdn.myanimelist.net/images/anime/11/75547l.jpg","13","6.44","2004","Drama","Fantasy",""
"337","Psychic Academy","https://cdn.myanimelist.net/images/anime/1886/98806l.jpg","24","6.18","2002","Comedy","Romance","Ecchi"
"338","Versailles no Bara","https://cdn.myanimelist.net/images/anime/9/57043l.jpg","40","8.34","1979","Drama","Romance",""
"339","Serial Experiments Lain","https://cdn.myanimelist.net/images/anime/1718/91550l.jpg","13","8.09","1998","Avant Garde","Award Winning","Drama"
"340","Mutsu Enmei Ryuu Gaiden: Shura no Toki","https://cdn.myanimelist.net/images/anime/3/56847l.jpg","26","7.54","2004","Action","",""
"341","Spiral: Suiri no Kizuna","https://cdn.myanimelist.net/images/anime/1771/92118l.jpg","25","7.21","2002","Drama","Mystery",""
"342","Starship Operators","https://cdn.myanimelist.net/images/anime/1185/131231l.jpg","13","6.92","2005","Drama","Sci-Fi",""
"343","Tsukuyomi: Moon Phase","https://cdn.myanimelist.net/images/anime/13/75255l.jpg","25","6.93","2004","Comedy","Romance","Supernatural"
"344","Futatsu no Spica","https://cdn.myanimelist.net/images/anime/12/73986l.jpg","20","7.34","2003","Drama","Sci-Fi","Supernatural"
"345","Eikoku Koi Monogatari Emma","https://cdn.myanimelist.net/images/anime/5/80117l.jpg","12","7.61","2005","Drama","Romance",""
"346","W: Wish","https://cdn.myanimelist.net/images/anime/1/346l.jpg","13","6.12","2004","Drama","Romance",""
"347","Wild Arms: Twilight Venom","https://cdn.myanimelist.net/images/anime/1532/94186l.jpg","22","6.62","1999","Action","Adventure","Fantasy"
"348","Binzume Yousei","https://cdn.myanimelist.net/images/anime/3/16917l.jpg","13","6.43","2003","Comedy","Fantasy",""
"349","Magical Canan","https://cdn.myanimelist.net/images/anime/10/75560l.jpg","13","6.07","2005","Drama","Fantasy","Ecchi"
"350","Ojamajo Doremi","https://cdn.myanimelist.net/images/anime/1069/133679l.jpg","51","7.33","1999","Comedy","",""
"351","Ojamajo Doremi Sharp","https://cdn.myanimelist.net/images/anime/1215/121240l.jpg","49","7.46","2000","Comedy","",""
"352","Motto! Ojamajo Doremi","https://cdn.myanimelist.net/images/anime/5/36629l.jpg","50","7.47","2001","Comedy","",""
"353","Ojamajo Doremi Dokkaan!","https://cdn.myanimelist.net/images/anime/2/40407l.jpg","51","7.74","2002","Comedy","",""
"354","UG☆Ultimate Girls","https://cdn.myanimelist.net/images/anime/1/2455l.jpg","12","5.6","2005","Comedy","Sci-Fi","Ecchi"
"355","Shakugan no Shana","https://cdn.myanimelist.net/images/anime/8/21197l.jpg","24","7.44","2005","Action","Drama","Fantasy"
"356","Fate/stay night","https://cdn.myanimelist.net/images/anime/4/30327l.jpg","24","7.27","2006","Action","Fantasy","Romance"
"360","Himiko-den","https://cdn.myanimelist.net/images/anime/8/80544l.jpg","12","6.14","1999","Adventure","Drama","Fantasy"
"364","Gallery Fake","https://cdn.myanimelist.net/images/anime/10/30129l.jpg","37","7.4","2005","Mystery","",""
"369","Boogiepop wa Warawanai","https://cdn.myanimelist.net/images/anime/1327/95777l.jpg","12","7.15","2000","Avant Garde","Drama","Horror"
"370","Burn Up Excess","https://cdn.myanimelist.net/images/anime/6/75501l.jpg","13","6.54","1998","Action","Adventure","Comedy"
"375","Bannou Bunka Neko-Musume (1998)","https://cdn.myanimelist.net/images/anime/10/2875l.jpg","12","6.5","1998","Action","Adventure","Comedy"
"379","Heppoko Jikken Animation Excel♥Saga","https://cdn.myanimelist.net/images/anime/2/11744l.jpg","26","7.48","1999","Comedy","Sci-Fi",""
"383","Galaxy Angel","https://cdn.myanimelist.net/images/anime/4/6075l.jpg","24","7.01","2001","Comedy","Sci-Fi",""
"384","Gantz","https://cdn.myanimelist.net/images/anime/13/5998l.jpg","13","6.97","2004","Action","Drama","Horror"
"385","Gilgamesh","https://cdn.myanimelist.net/images/anime/13/6640l.jpg","26","6.59","2003","Drama","Fantasy","Sci-Fi"
"386","H2","https://cdn.myanimelist.net/images/anime/1480/105967l.jpg","41","7.23","1995","Comedy","Romance","Sports"
"387","Haibane Renmei","https://cdn.myanimelist.net/images/anime/9/13134l.jpg","13","7.98","2002","Drama","Fantasy","Mystery"
"388","Capeta","https://cdn.myanimelist.net/images/anime/1467/148890l.jpg","52","7.82","2005","Sports","",""
"390","Suzuka","https://cdn.myanimelist.net/images/anime/9/33579l.jpg","26","7.16","2005","Drama","Romance","Sports"
"392","Yuu☆Yuu☆Hakusho","https://cdn.myanimelist.net/images/anime/1228/111372l.jpg","112","8.46","1992","Action","Supernatural",""
"394","Ai Yori Aoshi: Enishi","https://cdn.myanimelist.net/images/anime/10/71425l.jpg","12","7.11","2003","Comedy","Drama","Romance"
"395","Gantz 2nd Stage","https://cdn.myanimelist.net/images/anime/10/23247l.jpg","13","7.01","2004","Action","Drama","Horror"
"396","Seikai no Senki","https://cdn.myanimelist.net/images/anime/11/61111l.jpg","13","7.65","2000","Action","Romance","Sci-Fi"
"397","Seikai no Senki II","https://cdn.myanimelist.net/images/anime/12/61109l.jpg","10","7.78","2001","Action","Romance","Sci-Fi"
"400","Seihou Bukyou Outlaw Star","https://cdn.myanimelist.net/images/anime/1868/145122l.jpg","24","7.83","1998","Action","Adventure","Comedy"
"403","Hanaukyou Maid-tai","https://cdn.myanimelist.net/images/anime/12/3066l.jpg","12","6.56","2001","Comedy","Romance","Ecchi"
"406","Buzzer Beater","https://cdn.myanimelist.net/images/anime/6/57421l.jpg","13","6.5","2005","Sci-Fi","Sports",""
"407","Tantei Gakuen Q","https://cdn.myanimelist.net/images/anime/1/407l.jpg","45","7.73","2003","Comedy","Drama","Mystery"
"411","Gun x Sword","https://cdn.myanimelist.net/images/anime/3/25380l.jpg","26","7.24","2005","Action","Adventure","Drama"
"412","Kore ga Watashi no Goshujinsama","https://cdn.myanimelist.net/images/anime/11/80500l.jpg","12","6.51","2005","Comedy","Ecchi",""
"417","Ragnarök The Animation","https://cdn.myanimelist.net/images/anime/10/2589l.jpg","26","6.45","2004","Action","Fantasy",""
"419","Samurai Deeper Kyou","https://cdn.myanimelist.net/images/anime/1376/147349l.jpg","26","6.88","2002","Action","Adventure","Comedy"
"421","Stratos 4","https://cdn.myanimelist.net/images/anime/8/67337l.jpg","13","6.62","2003","Comedy","Sci-Fi",""
"424","Dirty Pair","https://cdn.myanimelist.net/images/anime/2/20673l.jpg","24","7.22","1985","Adventure","Comedy","Sci-Fi"
"427","Kaleido Star","https://cdn.myanimelist.net/images/anime/1230/98847l.jpg","51","7.9","2003","Comedy","Drama","Supernatural"
"435","Magic Knight Rayearth","https://cdn.myanimelist.net/images/anime/1683/97042l.jpg","20","7.45","1994","Action","Adventure","Comedy"
"440","Shoujo Kakumei Utena","https://cdn.myanimelist.net/images/anime/1078/95285l.jpg","39","8.22","1997","Award Winning","Drama","Fantasy"
"444","Maria-sama ga Miteru: Haru","https://cdn.myanimelist.net/images/anime/9/75208l.jpg","13","7.61","2004","Drama","Girls Love",""
"445","Tales of Eternia The Animation","https://cdn.myanimelist.net/images/anime/11/42089l.jpg","13","6.18","2001","Adventure","Comedy","Fantasy"
"446","Weiß Kreuz Glühen","https://cdn.myanimelist.net/images/anime/9/23693l.jpg","13","6.51","2002","Action","Drama",""
"447","Weiß Kreuz","https://cdn.myanimelist.net/images/anime/13/23697l.jpg","25","6.68","1998","Action","Drama",""
"455","Fantastic Children","https://cdn.myanimelist.net/images/anime/9/77062l.jpg","26","7.49","2004","Adventure","Fantasy","Mystery"
"456","Gokujou Seitokai","https://cdn.myanimelist.net/images/anime/7/18714l.jpg","26","6.91","2005","Comedy","",""
"457","Mushishi","https://cdn.myanimelist.net/images/anime/2/73862l.jpg","26","8.65","2005","Adventure","Mystery","Slice of Life"
"467","Koukaku Kidoutai: Stand Alone Complex","https://cdn.myanimelist.net/images/anime/11/50857l.jpg","26","8.42","2002","Action","Award Winning","Mystery"
"469","Karin","https://cdn.myanimelist.net/images/anime/9/79205l.jpg","24","7.1","2005","Comedy","Romance","Supernatural"
"470","Okusama wa Joshikousei (TV)","https://cdn.myanimelist.net/images/anime/4/18925l.jpg","13","6.3","2005","Comedy","Romance","Ecchi"
"471","To Heart 2","https://cdn.myanimelist.net/images/anime/3/57423l.jpg","13","6.47","2005","Comedy","Drama","Romance"
"472","To Heart","https://cdn.myanimelist.net/images/anime/8/29922l.jpg","13","6.59","1999","Drama","Romance",""
"473","Tide-Line Blue","https://cdn.myanimelist.net/images/anime/9/75832l.jpg","12","6.58","2005","Action","Adventure","Drama"
"476","Ginban Kaleidoscope","https://cdn.myanimelist.net/images/anime/8/19926l.jpg","12","7.29","2005","Drama","Romance","Sports"
"477","Aria the Animation","https://cdn.myanimelist.net/images/anime/2/77620l.jpg","13","7.68","2005","Sci-Fi","Slice of Life",""
"478","Sousei no Aquarion","https://cdn.myanimelist.net/images/anime/11/76291l.jpg","26","7.08","2005","Action","Fantasy","Romance"
"479","Ueki no Housoku","https://cdn.myanimelist.net/images/anime/8/20596l.jpg","51","7.71","2005","Action","Adventure","Supernatural"
"481","Yu☆Gi☆Oh! Duel Monsters","https://cdn.myanimelist.net/images/anime/3/77055l.jpg","224","7.5","2000","Action","Adventure","Fantasy"
"482","Yu☆Gi☆Oh! Duel Monsters GX","https://cdn.myanimelist.net/images/anime/6/20873l.jpg","180","7.21","2004","Action","Comedy","Fantasy"
"483","Kurau Phantom Memory","https://cdn.myanimelist.net/images/anime/1997/106096l.jpg","24","7.28","2004","Action","Drama","Sci-Fi"
"485","Damekko Doubutsu","https://cdn.myanimelist.net/images/anime/1/485l.jpg","26","7.23","2005","Comedy","Slice of Life",""
"486","Kino no Tabi: The Beautiful World","https://cdn.myanimelist.net/images/anime/1763/95397l.jpg","13","8.28","2003","Adventure","Drama","Fantasy"
"487","Girls Bravo: Second Season","https://cdn.myanimelist.net/images/anime/1538/133872l.jpg","13","6.59","2005","Comedy","Fantasy","Romance"
"488","Ichigo Mashimaro","https://cdn.myanimelist.net/images/anime/10/11042l.jpg","12","7.62","2005","Slice of Life","",""
"489","Kamichu!","https://cdn.myanimelist.net/images/anime/3/24641l.jpg","12","7.35","2005","Award Winning","Slice of Life","Supernatural"
"490","Paniponi Dash!","https://cdn.myanimelist.net/images/anime/1581/138842l.jpg","26","7.42","2005","Comedy","",""
"495","Bakuretsu Hunters","https://cdn.myanimelist.net/images/anime/1607/96463l.jpg","26","6.64","1995","Adventure","Comedy","Fantasy"
"497","Yami to Boushi to Hon no Tabibito","https://cdn.myanimelist.net/images/anime/1894/124184l.jpg","13","6.51","2003","Adventure","Fantasy","Girls Love"
"501","Doraemon","https://cdn.myanimelist.net/images/anime/10/33865l.jpg","26","7.4","1973","Adventure","Comedy","Fantasy"
"505","Fushigiboshi no☆Futagohime","https://cdn.myanimelist.net/images/anime/1193/133527l.jpg","51","7.28","2005","Comedy","Fantasy",""
"506","Glass no Kamen","https://cdn.myanimelist.net/images/anime/6/39571l.jpg","23","7.33","1984","Drama","Romance",""
"508","Tottoko Hamtarou","https://cdn.myanimelist.net/images/anime/3/21562l.jpg","296","7.01","2000","Adventure","Comedy",""
"509","I My Me! Strawberry Eggs","https://cdn.myanimelist.net/images/anime/1414/93964l.jpg","13","6.74","2001","Comedy","Drama","Romance"
"510","Kakyuusei 2: Hitomi no Naka no Shoujo-tachi","https://cdn.myanimelist.net/images/anime/1643/129530l.jpg","13","5.77","2004","Comedy","Drama","Romance"
"511","Kidou Shinsengumi Moeyo Ken TV","https://cdn.myanimelist.net/images/anime/4/3461l.jpg","13","6.11","2005","Adventure","Comedy","Fantasy"
"516","Keroro Gunsou","https://cdn.myanimelist.net/images/anime/1121/117792l.jpg","358","7.7","2004","Comedy","Sci-Fi",""
"518","Mahou no Princess Minky Momo","https://cdn.myanimelist.net/images/anime/1704/105810l.jpg","63","6.91","1982","Fantasy","",""
"519","Mahoraba: Heartful Days","https://cdn.myanimelist.net/images/anime/3/50903l.jpg","26","7.28","2005","Comedy","Romance",""
"521","Mermaid Melody Pichi Pichi Pitch","https://cdn.myanimelist.net/images/anime/3/9640l.jpg","52","7.2","2003","Romance","",""
"525","Otogizoushi","https://cdn.myanimelist.net/images/anime/9/16736l.jpg","26","6.9","2004","Adventure","Drama","Fantasy"
"527","Pokemon","https://cdn.myanimelist.net/images/anime/1787/140239l.jpg","276","7.41","1997","Action","Adventure","Comedy"
